park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC,Avg_Annual_Visits_5Yr
Apostle Islands National Lakeshore,APIS,MI - Water System,Michigan Island,Non-Public Water System (NP),NA,lake/reservoir,-90.49732,46.871301,"c(-90.49732, 46.871301)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,261558.4
Apostle Islands National Lakeshore,APIS,OU - Well and Water System,Outer (shut down),Non-Public Water System (NP),NA,lake/reservoir,-90.416766,47.076546,"c(-90.416766, 47.076546)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,261558.4
Apostle Islands National Lakeshore,APIS,RA - Well and Water System (Potable),NA,Transient Non-Community Water System (TNC),WI8040439,deep groundwater,-90.804583,46.970555,"c(-90.804583, 46.970555)","APOSTLE ISLANDS N.L., RASPBERRY IS. (RAW01)",TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,RA - Well and Water System (Non-Potable),NA,Non-Public Water System (NP),NA,unknown groundwater,-90.804583,46.970555,"c(-90.804583, 46.970555)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,261558.4
Apostle Islands National Lakeshore,APIS,RA - Well and Water System (Rainwater),NA,Non-Public Water System (NP),NA,rainwater,-90.804583,46.970555,"c(-90.804583, 46.970555)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,261558.4
Apostle Islands National Lakeshore,APIS,RO - Wells and Water Systems,NA,Transient Non-Community Water System (TNC),WI8020140,deep groundwater,-90.67602,47.02955,"c(-90.67602, 47.02955)","APOSTLE ISLAND N.L., ROCKY IS. (ROW01)",TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,ST - Wells and Water Systems,NA,Transient Non-Community Water System (TNC),WI8020142,deep groundwater,-90.54997,46.91209,"c(-90.54997, 46.91209)",U S N P APOSTLE IS STOCKTON IS PI STW01,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,STQB -  Old Well,Stockton Island,Transient Non-Community Water System (TNC),WI8020144,deep groundwater,-90.60739,46.92194,"c(-90.60739, 46.92194)","APOSTLE ISLANDS N.L., STOCKTON IS., Q.B. (STW02)",TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,DE - Well and Water System,Devils Island,Transient Non-Community Water System (TNC),WI8020610,unknown groundwater,-90.72729,47.07873,"c(-90.72729, 47.07873)","APOSTLE ISLANDS N.L., DEVILS IS. (DEW01)",TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,LSB - Wells and Water System,NA,Transient Non-Community Water System (TNC),WI8040391,unknown groundwater,-90.88963,46.94639,"c(-90.88963, 46.94639)",U S N P APOSTLE IS LSB VISITOR CONTACT STATION LSW04,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,261558.4
Apostle Islands National Lakeshore,APIS,SA - Well and Water Systems,NA,Transient Non-Community Water System (TNC),WI80404203,deep groundwater,-90.93548,46.98194,"c(-90.93548, 46.98194)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,261558.4
Appalachian National Scenic Trail,APPA,Morgan Stewart Hand Pump Well,NA,Non-Public Water System (NP),NA,shallow groundwater,-73.691758,41.564571,"c(-73.691758, 41.564571)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,6562110
Appalachian National Scenic Trail,APPA,Nahmakanta Lake Wilderness Camps,NA,Non-Public Water System (NP),NA,deep groundwater,-69.160436,45.77057,"c(-69.160436, 45.77057)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,6562110
Appalachian National Scenic Trail,APPA,RPH Shelter Hand Pump Well,NA,Non-Public Water System (NP),NA,unknown groundwater,-73.792379,41.514509,"c(-73.792379, 41.514509)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,6562110
Appalachian National Scenic Trail,APPA,RT 501 North Bethel,NA,Non-Public Water System (NP),NA,unknown groundwater,-76.34566,40.51305,"c(-76.34566, 40.51305)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,6562110
Appalachian National Scenic Trail,APPA,Shenandoah/Messerschmitt,NA,Non-Public Water System (NP),NA,shallow groundwater,-73.805409,41.511781,"c(-73.805409, 41.511781)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,6562110
Appalachian National Scenic Trail,APPA,Silver Hill Campsite Hand Pump Well,NA,Non-Public Water System (NP),NA,unknown groundwater,-73.389395,41.815251,"c(-73.389395, 41.815251)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,6562110
Appalachian National Scenic Trail,APPA,Ten Mile Campsite,NA,Non-Public Water System (NP),NA,deep groundwater,-73.509167,41.665191,"c(-73.509167, 41.665191)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,6562110
Appalachian National Scenic Trail,APPA,Wiley Shelter Hand Pump Well,Wiley Shelter Hand Pump Well,Non-Public Water System (NP),NA,deep groundwater,-73.532371,41.637868,"c(-73.532371, 41.637868)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100,6562110
Arches National Park,ARCH,AU01 Visitor Center Water System #1,NA,Community Water System (CWS),UTAH10021,deep groundwater,-109.611029,38.615623,"c(-109.611029, 38.615623)",ARCHES NATIONAL PARK HQ,CWS,116,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,1548878.2
Arches National Park,ARCH,AU04 Devils Garden Water System,NA,Transient Non-Community Water System (TNC),UTAH10022,deep groundwater,-109.593563,38.780769,"c(-109.593563, 38.780769)",ARCHES NP-DEVILS GARDEN,TNCWS,191,1,1,1,1,2,"<10,000","<=3,300",<10K,<=500,101-500,1548878.2
Arkansas Post National Memorial,ARPO,ARPO Water System,NA,Transient Non-Community Water System (TNC),ART000031,deep groundwater,-91.34616,34.017003,"c(-91.34616, 34.017003)",ARK POST NATIONAL MEMORIAL,TNCWS,100,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,25548.6
Assateague Island National Seashore,ASIS,HQ Water System MD,Headquarters,Non-Transient Non-Community Water System (NTNC),MD1230059,deep groundwater,-75.1545,38.24761,"c(-75.1545, 38.24761)",ASSATEAGUE ISLAND NATIONAL SEASHORE - HQ,NTNCWS,55,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100,2396110.4
