park_name,park_unit,water_system_name,alternative_name,classification,pws_number,source_type,source_longitude,source_latitude,geometry,PWS_NAME,PWS_TYPE_CODE,POPULATION_SERVED_COUNT,POP_CAT_2_CODE,POP_CAT_3_CODE,POP_CAT_4_CODE,POP_CAT_5_CODE,POP_CAT_11_CODE,POP_CAT_2_DESC,POP_CAT_3_DESC,POP_CAT_4_DESC,POP_CAT_5_DESC,POP_CAT_11_DESC
Valles Caldera National Preserve,VALL,Water System,NA,Proposed System,NA,deep groundwater,-106.5211,35.858542,"c(-106.5211, 35.858542)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Valles Caldera National Preserve,VALL,Park Headquarters,NA,Community Water System (CWS),NM3509123,municipal,-106.688777,35.780198,"c(-106.688777, 35.780198)",JEMEZ SPRINGS DWUA,CWS,1385,1,1,1,2,4,"<10,000","<=3,300",<10K,"501-3,300","1,001-3,300"
Vanderbilt Mansion National Historic Site,VAMA,Vanderbilt Mansion Water,NA,Community Water System (CWS),NY1302796,municipal,-73.943398,41.775716,"c(-73.943398, 41.775716)",HYDE PARK REGIONAL,CWS,6928,1,2,1,3,5,"<10,000","3,301-50,000",<10K,"3,301-10,000","3,301-10,000"
Vicksburg National Military Park,VICK,Culkin Water System,Culkin Water System,Community Water System (CWS),MS0750002,municipal,-90.826211,32.38777,"c(-90.826211, 32.38777)",CULKIN WATER DIST,CWS,11730,2,2,2,4,6,"10,000+","3,301-50,000","10K-49,999","10,001-100,000","10,001-50,000"
Vicksburg National Military Park,VICK,Vicksburg Water System,Vicksburg Water System,Community Water System (CWS),MS0750010,municipal,-90.880103,32.340151,"c(-90.880103, 32.340151)",CITY OF VICKSBURG,CWS,29238,2,2,2,4,6,"10,000+","3,301-50,000","10K-49,999","10,001-100,000","10,001-50,000"
Voyageurs National Park,VOYA,Kettle Falls Maint.,Kettle Falls Maint.,Non-Potable (NonPOT),NA,unknown groundwater,-92.63998,48.50249,"c(-92.63998, 48.50249)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Voyageurs National Park,VOYA,King Williams Cabin( Sand Point Ranger Stng),NA,Non-Public Water System (NP),NA,unknown groundwater,-92.468,48.30281,"c(-92.468, 48.30281)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Voyageurs National Park,VOYA,NAR Drinking Water system ARVC comf. station & Q14,Ash River Trail Visitors Center NPS,Transient Non-Community Water System (TNC),MN5691219,deep groundwater,-92.850465,48.435503,"c(-92.850465, 48.435503)",Ash River Trail Visitors Center NPS,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Voyageurs National Park,VOYA,NAR Drinking Water system Ash River maint bldg. 94,NA,Non-Public Water System (NP),NA,deep groundwater,-92.85034,48.43555,"c(-92.85034, 48.43555)",NA,NA,24,NA,NA,NA,NA,1,NA,NA,NA,NA,<=100
Voyageurs National Park,VOYA,NAR Drinking Water system for WP Quarters,NA,Transient Non-Community Water System (TNC),MN5691221,unknown groundwater,-93.030135,48.445037,"c(-93.030135, 48.445037)",Lake Kabetogama Visitors Center NPS,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
Voyageurs National Park,VOYA,NKL Drinking Water system for WKVC,Lake Kabetogama Visitors Center NPS,Transient Non-Community Water System (TNC),MN5691221,shallow groundwater,-93.029976,48.444804,"c(-93.029976, 48.444804)",Lake Kabetogama Visitors Center NPS,TNCWS,25,1,1,1,1,1,"<10,000","<=3,300",<10K,<=500,<=100
